-1,0.25
67,0.125
68,0.25
70,0.375
79,0.375
75,0.375
77,0.25
75,0.25
75,0.375
74,0.375
74,0.375
65,0.125
67,0.25
68,0.375
77,0.375
74,0.375
75,0.25
74,0.234375
-1,0.015625
72,0.375
70,0.375
70,0.375
67,0.24479166666666666
-1,0.005208333333333333
68,0.11979166666666667
-1,0.005208333333333333
70,0.4947916666666667
-1,0.005208333333333333
75,0.11979166666666667
-1,0.005208333333333333
77,0.24479166666666666
-1,0.005208333333333333
-1,0.3645833333333333
79,0.005208333333333333
77,0.25
-1,0.005208333333333333
75,0.11979166666666667
-1,0.005208333333333333
72,0.375
77,0.25
79,0.25
80,0.375
79,0.125
77,0.25
70,0.375
80,0.375
79,0.375
77,0.375
75,1.375
75,1.125
79,0.375
75,0.375
77,1.5
77,0.875
80,0.5
77,0.375
79,1.625
79,0.75
82,0.375
79,0.375
80,1.25
79,0.25
77,0.25
70,0.75
74,0.75
75,0.75
